time,cpu,ram,temp,status_active,status_occurred,fan_cur,fan_max
11:38:30,15.7,28.2,52.9,,,1,4
11:38:31,11.0,28.1,52.35,,,1,4
11:38:31,11.4,28.1,51.8,,,1,4
11:38:32,10.5,28.2,51.8,,,1,4
11:38:32,15.8,28.2,51.8,,,1,4
11:38:33,12.3,28.2,52.9,,,1,4
11:38:33,11.4,28.2,51.8,,,1,4
11:38:34,12.0,28.1,52.35,,,1,4
11:38:34,13.9,28.2,51.25,,,1,4
11:38:35,11.4,28.2,52.35,,,1,4
11:38:35,12.1,28.2,52.9,,,1,4
11:38:36,13.5,28.2,52.9,,,1,4
11:38:36,17.8,28.2,51.8,,,1,4
11:38:37,13.5,28.2,52.35,,,1,4
11:38:37,13.6,28.2,52.35,,,1,4
11:38:38,15.8,28.2,52.35,,,1,4
11:38:38,17.4,28.2,52.35,,,1,4
11:38:39,14.7,28.3,52.35,,,1,4
11:38:39,14.5,28.2,52.35,,,1,4
11:38:40,14.1,28.2,51.8,,,1,4
11:38:40,17.0,28.2,52.35,,,1,4
11:38:41,13.6,28.2,51.8,,,1,4
11:38:41,15.3,28.2,51.8,,,1,4
11:38:42,13.1,28.2,51.8,,,1,4
11:38:42,18.9,28.2,52.35,,,1,4
11:38:43,14.9,28.2,52.35,,,1,4
11:38:43,14.9,28.2,51.25,,,1,4
11:38:44,15.6,28.2,52.9,,,1,4
11:38:44,17.4,28.1,52.35,,,1,4
11:38:45,15.0,28.2,52.9,,,1,4
11:38:45,13.5,28.2,50.7,,,1,4
11:38:46,14.5,28.2,52.9,,,1,4
11:38:46,15.8,28.2,52.35,,,1,4
11:38:47,16.5,28.2,52.35,,,1,4
11:38:47,15.8,28.2,51.8,,,1,4
11:38:48,14.1,28.2,51.8,,,1,4
